C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C20:1
D15:1
D16:1
H6:1
H7:1
H8:3
H9:1
J11:1
J12:1
J13:1
J14:1
J15:1
J16:1
J18:1
J21:1
J22:1
Q7:1
R27:1
R28:1
R29:1
R30:1
R31:1
R32:1
R33:1
R34:1
R35:1
R36:1
R37:1
R38:1
R39:1
R41:1
U15:1
U16:1
U17:1
U18:1
